Season,Team,WinLossPct,AvgPts,PtDiff,AvgRebounds,AvgAssists,AvgTurnovers,AvgFouls,FGPct,FTPct,ThPct,AvgStealsPlusBlocks,AvgPtsAgainst,OppFGPct,OppThPct
2011,1166,.58,66,103,34,13,11,15,.45,.72,.36,7,63,.42,.35
2012,1153,.71,68,249,37,12,10,15,.42,.64,.34,12,61,.41,.32
2013,1217,.67,68,127,29,13,13,15,.48,.72,.40,11,64,.44,.33
2017,1408,.19,70,-255,39,12,13,20,.40,.72,.32,10,78,.47,.38
2003,1145,.36,70,-25,37,15,14,19,.44,.71,.34,11,71,.41,.35
2004,1209,.67,73,136,36,15,15,18,.47,.72,.34,10,68,.41,.29
2010,1451,.64,76,143,38,13,12,19,.44,.73,.36,9,71,.44,.36
2011,1189,.39,72,-90,37,13,12,19,.42,.72,.35,7,75,.47,.39
2012,1130,.29,59,-292,32,11,14,15,.41,.67,.34,7,68,.44,.35
2012,1253,.74,73,284,36,14,12,15,.47,.67,.36,9,64,.42,.34
2013,1194,.42,64,-105,36,10,15,18,.42,.69,.35,10,68,.42,.30
2003,1245,.69,76,139,35,14,12,20,.49,.71,.40,8,71,.45,.38
2011,1120,.33,61,-146,37,11,14,20,.39,.65,.32,10,66,.43,.33
2012,1107,.58,71,112,36,12,12,16,.45,.75,.36,8,68,.45,.37
2003,1222,.29,58,-223,36,10,17,16,.40,.66,.30,9,66,.41,.31
2011,1143,.55,72,23,35,14,13,17,.46,.69,.35,8,71,.44,.36
2003,1391,.23,71,-251,40,11,14,18,.40,.75,.31,12,81,.51,.40
2006,1429,.73,71,214,34,16,13,15,.49,.73,.40,8,64,.42,.34
2008,1108,.21,67,-338,36,9,17,21,.41,.69,.35,8,78,.50,.39
2009,1172,.78,77,399,40,13,12,20,.43,.71,.35,10,65,.39,.33
2011,1312,.42,67,-92,38,12,13,21,.42,.62,.35,9,70,.43,.35
2012,1376,.32,61,-112,34,9,12,18,.40,.70,.33,11,65,.45,.38
2014,1350,.58,66,46,35,10,10,19,.42,.67,.32,10,65,.41,.30
2015,1211,.94,78,565,37,16,10,17,.52,.69,.41,9,61,.39,.32
2015,1414,.61,66,104,36,13,11,17,.45,.68,.38,10,63,.40,.34
2016,1275,.38,63,-181,35,10,12,18,.40,.73,.31,8,68,.44,.36
2007,1436,.78,70,174,40,13,15,17,.45,.67,.36,9,64,.41,.32
2014,1158,.42,62,-4,38,10,12,18,.41,.66,.34,8,62,.41,.34
2005,1319,.35,75,-26,37,14,15,19,.44,.71,.37,7,76,.46,.36
2009,1218,.43,64,-35,35,12,15,18,.42,.71,.28,9,65,.43,.35
2010,1282,.36,65,-177,35,11,12,21,.42,.71,.34,7,72,.49,.37
2012,1422,.39,69,-239,39,11,15,21,.40,.68,.34,10,77,.46,.37
2013,1240,.58,64,-5,31,12,13,16,.44,.68,.35,12,65,.46,.32
2014,1304,.61,67,66,34,9,10,20,.43,.72,.34,9,64,.42,.32
2017,1139,.74,76,245,33,13,10,18,.48,.74,.36,9,68,.44,.33
2017,1385,.42,76,-64,38,13,13,20,.43,.72,.36,12,78,.46,.38
2006,1326,.83,74,336,35,15,12,15,.47,.72,.37,9,63,.42,.31
2007,1390,.60,69,95,38,15,14,18,.45,.69,.35,10,66,.41,.33
2014,1204,.39,68,-88,37,8,11,17,.43,.66,.33,7,71,.45,.35
2015,1268,.82,69,206,36,10,12,16,.44,.76,.37,9,63,.40,.31
2015,1357,.45,72,-43,39,14,13,18,.45,.64,.32,9,74,.43,.35
2016,1421,.65,74,169,38,12,13,17,.45,.70,.32,12,69,.44,.29
2007,1290,.55,61,-36,37,10,15,17,.41,.65,.32,10,62,.40,.31
2008,1354,.38,70,-194,40,14,17,20,.43,.60,.34,9,76,.44,.34
2005,1216,.29,59,-289,39,8,14,21,.39,.63,.29,8,69,.44,.38
2006,1280,.50,68,-15,39,11,17,17,.44,.63,.31,10,68,.41,.33
2014,1247,.48,67,-20,37,12,11,15,.41,.71,.33,9,68,.44,.33
2015,1311,.27,63,-274,35,12,17,22,.43,.63,.31,10,73,.44,.36
2015,1314,.69,77,333,40,17,12,19,.48,.70,.35,11,68,.40,.30
2016,1129,.60,76,123,36,13,11,19,.45,.71,.33,8,71,.45,.36
2016,1378,.24,63,-267,38,10,14,17,.42,.66,.29,9,71,.41,.32
2006,1180,.48,62,79,39,11,13,18,.39,.67,.33,12,59,.40,.34
2007,1244,.40,67,-77,40,13,13,19,.39,.64,.28,13,70,.46,.35
2014,1101,.10,63,-325,32,10,15,21,.41,.75,.37,7,78,.51,.37
2015,1165,.41,60,-48,36,9,12,19,.39,.75,.30,10,62,.39,.33
2015,1460,.31,63,-153,33,13,12,19,.44,.69,.34,7,68,.46,.35
2004,1106,.53,61,25,35,10,17,18,.42,.66,.33,10,60,.41,.35
2005,1170,.38,68,-157,41,11,14,23,.37,.70,.33,12,74,.46,.35
2013,1137,.84,67,306,35,13,9,14,.46,.75,.36,7,57,.38,.31
2014,1201,.48,71,-31,36,12,9,19,.43,.72,.36,10,72,.45,.32
2016,1424,.52,76,72,38,14,14,21,.43,.69,.33,12,74,.42,.33
2010,1371,.61,80,167,41,15,10,18,.45,.68,.34,12,75,.42,.32
2011,1435,.70,76,283,37,13,13,16,.46,.75,.37,10,67,.41,.31
2013,1114,.52,65,-66,36,11,15,20,.42,.67,.34,10,67,.43,.34
2014,1178,.37,69,-90,37,11,12,21,.41,.73,.31,11,72,.44,.36
2006,1283,.71,75,250,37,15,13,18,.46,.75,.38,11,66,.41,.32
2010,1136,.03,51,-529,34,10,16,20,.37,.67,.29,9,69,.44,.37
2011,1458,.74,68,306,33,13,7,15,.45,.82,.37,6,58,.43,.38
2005,1196,.77,76,424,38,15,13,18,.49,.70,.39,11,62,.41,.31
2006,1260,.61,71,27,36,12,13,18,.45,.75,.35,10,70,.44,.37
2010,1159,.34,67,-114,36,13,14,18,.43,.69,.37,8,71,.45,.36
2015,1122,.21,64,-270,37,11,14,17,.40,.66,.30,10,73,.48,.39
2009,1115,.42,62,-247,40,10,19,22,.40,.62,.29,11,70,.43,.33
2010,1179,.42,66,-62,32,11,10,16,.44,.76,.38,7,68,.46,.36
2011,1415,.34,64,-199,36,11,13,18,.42,.68,.35,9,71,.44,.38
2003,1348,.62,70,12,40,13,13,20,.40,.67,.31,10,70,.43,.32
2008,1151,.55,73,-3,39,14,18,18,.45,.66,.33,8,73,.42,.35
2010,1328,.42,72,-48,36,12,12,16,.43,.74,.35,8,73,.46,.39
2011,1392,.45,60,-20,38,9,12,17,.38,.65,.34,8,61,.39,.31
2009,1238,.55,69,-21,38,13,15,19,.43,.70,.27,10,70,.45,.34
2009,1407,.60,77,20,37,14,12,16,.46,.69,.38,11,76,.45,.36
2011,1292,.48,68,53,36,10,15,23,.43,.71,.34,12,66,.43,.35
2012,1356,.27,62,-199,36,11,13,21,.42,.64,.29,10,69,.47,.40
2010,1202,.39,67,-55,36,11,14,21,.42,.71,.34,10,69,.43,.34
2011,1266,.59,76,239,37,15,11,16,.47,.69,.35,10,69,.44,.36
2012,1379,.74,70,140,38,10,10,19,.41,.74,.36,8,66,.45,.36
2013,1443,.56,67,24,37,11,15,18,.43,.68,.33,9,66,.43,.33
2003,1119,.12,53,-345,30,11,17,19,.41,.68,.36,7,67,.43,.39
2003,1368,.36,64,-134,37,12,13,21,.40,.68,.30,9,69,.48,.37
2008,1131,.45,63,-55,35,13,14,20,.40,.68,.33,9,64,.44,.33
2008,1380,.36,61,-137,36,9,15,16,.40,.67,.35,10,66,.42,.33
2009,1195,.33,65,-217,36,13,17,20,.40,.70,.34,10,72,.43,.33
2009,1444,.32,61,-86,35,10,13,20,.39,.70,.31,8,64,.42,.34
2011,1335,.46,66,-38,32,13,13,18,.45,.74,.37,8,68,.46,.36
2012,1150,.43,67,-56,39,13,14,18,.41,.66,.33,10,68,.43,.33
2012,1399,.57,71,8,34,13,14,19,.46,.72,.37,8,71,.45,.37
2013,1214,.45,62,-47,38,11,17,20,.39,.67,.26,12,63,.39,.31
2008,1274,.68,73,179,38,12,13,18,.43,.75,.38,10,68,.41,.35
2009,1338,.87,77,420,39,17,12,16,.48,.67,.36,10,64,.41,.34
2004,1232,.32,57,-106,34,10,13,16,.41,.65,.35,9,61,.44,.33
2005,1296,.39,68,-22,33,14,14,18,.45,.75,.39,10,69,.45,.35
2011,1123,.60,67,81,34,13,12,17,.45,.69,.34,8,64,.43,.34
2015,1391,.21,64,-267,36,11,12,17,.43,.66,.32,7,74,.45,.37
2016,1298,.56,67,66,36,13,13,19,.46,.64,.31,9,65,.41,.35
2017,1113,.45,78,-102,38,13,10,16,.43,.75,.37,9,81,.48,.36
2017,1362,.61,70,117,37,12,12,19,.45,.63,.35,9,67,.42,.34
2004,1275,.61,62,24,34,12,12,20,.41,.70,.32,7,61,.44,.36
2005,1339,.48,68,8,33,12,14,19,.45,.70,.34,10,68,.43,.33
2006,1160,.69,77,216,43,16,14,19,.44,.66,.35,14,69,.42,.36
2007,1224,.29,64,-223,33,12,16,17,.42,.65,.39,7,72,.49,.36
2014,1370,.39,70,-49,37,13,13,22,.42,.66,.34,9,72,.43,.35
2015,1434,.83,68,260,37,12,12,16,.45,.69,.38,10,59,.39,.33
2016,1255,.23,71,-188,36,12,14,19,.45,.70,.35,8,77,.46,.38
2017,1319,.26,68,-247,40,13,14,18,.40,.68,.32,6,76,.46,.34
2003,1311,.07,53,-438,33,9,17,19,.38,.67,.34,6,69,.46,.33
2004,1375,.38,65,-82,36,10,13,20,.42,.65,.34,8,68,.47,.36
2007,1124,.47,74,46,38,13,14,20,.45,.68,.36,9,73,.45,.36
2015,1291,.50,63,-52,36,11,12,18,.40,.68,.33,10,64,.44,.35
2015,1334,.32,63,-182,36,11,12,21,.41,.65,.34,6,69,.45,.36
2016,1355,.77,75,218,38,11,11,19,.45,.74,.36,6,68,.42,.33
2016,1398,.64,73,106,38,10,13,20,.46,.70,.34,11,69,.42,.37
2006,1203,.93,78,344,38,17,14,17,.47,.64,.35,14,66,.41,.32
2006,1452,.66,70,163,30,17,8,13,.45,.75,.34,10,65,.46,.35
2007,1267,.41,66,-135,38,12,15,19,.40,.65,.29,10,70,.42,.34
2015,1142,.41,59,-27,37,9,8,16,.39,.67,.32,8,60,.44,.36
2005,1239,.52,70,-121,37,13,18,18,.45,.64,.36,14,74,.43,.34
2007,1416,.69,72,191,34,14,15,19,.47,.73,.39,10,65,.41,.33
2013,1406,.57,68,20,39,10,14,19,.44,.65,.31,10,67,.40,.34
2016,1106,.41,70,-108,40,11,12,21,.40,.69,.33,9,73,.46,.34
2017,1219,.43,67,-78,35,12,13,17,.43,.77,.37,8,70,.45,.37
2004,1189,.36,67,-182,38,14,17,19,.42,.70,.34,11,74,.46,.39
2005,1253,.33,60,-170,34,11,16,18,.41,.66,.32,8,66,.45,.35
2011,1163,.74,73,246,40,13,11,16,.43,.75,.33,12,66,.40,.33
2013,1220,.19,58,-274,37,9,14,16,.38,.63,.29,9,66,.44,.31
2014,1284,.34,69,-130,39,12,14,21,.42,.64,.34,9,73,.44,.35
2003,1102,.43,57,7,24,13,11,18,.48,.65,.38,7,57,.45,.38
2004,1166,.71,68,193,34,13,13,17,.45,.70,.38,10,61,.43,.34
2016,1318,.53,71,8,35,14,12,16,.44,.72,.37,8,71,.46,.34
2017,1382,.63,76,143,36,13,12,20,.44,.77,.35,11,72,.43,.35
2003,1411,.60,72,59,39,14,15,18,.45,.62,.32,8,70,.42,.33
2006,1200,.50,67,11,36,13,12,16,.43,.69,.37,9,67,.43,.34
2007,1264,.43,65,-98,36,11,14,21,.42,.71,.29,11,69,.44,.35
2015,1231,.61,77,200,37,14,11,17,.47,.71,.40,8,71,.45,.33
2016,1126,.40,69,-155,40,11,12,18,.41,.68,.31,11,74,.44,.35
2016,1295,.58,67,64,35,10,10,16,.44,.68,.34,9,65,.43,.32
2003,1388,.48,66,32,34,11,16,21,.45,.71,.37,9,65,.42,.36
2007,1287,.36,63,-73,34,14,14,19,.43,.66,.31,7,65,.46,.39
2011,1186,.29,64,-176,36,11,13,20,.40,.66,.36,9,71,.45,.35
2012,1250,.78,75,327,36,13,11,17,.45,.77,.35,10,65,.42,.33
2015,1208,.66,68,133,37,12,12,18,.44,.69,.34,10,64,.39,.31
2016,1272,.56,76,213,41,15,12,20,.41,.72,.32,13,70,.40,.30
2004,1358,.38,72,-136,38,17,17,20,.44,.70,.32,11,77,.45,.35
2005,1422,.56,69,-115,37,10,17,16,.44,.69,.29,14,74,.43,.36
2014,1453,.78,73,213,36,15,12,17,.47,.72,.34,14,65,.40,.32
2007,1456,.50,63,-20,33,12,14,17,.44,.69,.32,7,64,.43,.32
2013,1366,.55,54,-21,34,9,17,18,.41,.61,.29,12,55,.40,.28
2014,1430,.62,65,-10,35,13,11,17,.43,.76,.34,7,66,.44,.33
2003,1248,.41,66,-79,34,13,14,16,.44,.71,.36,9,69,.43,.36
2012,1110,.65,64,85,34,12,11,17,.43,.72,.40,7,61,.41,.31
2013,1174,.58,68,1,38,9,12,16,.42,.75,.31,9,68,.41,.34
2013,1343,.59,64,130,32,14,12,16,.47,.72,.40,9,59,.43,.34
2014,1407,.31,67,-95,37,10,12,15,.41,.66,.34,8,70,.45,.33
2016,1464,.30,75,-300,38,14,11,18,.43,.71,.37,8,85,.47,.35
2004,1335,.63,71,212,35,16,13,17,.45,.69,.40,9,63,.43,.32
2005,1399,.58,72,56,35,13,17,20,.46,.71,.35,12,70,.43,.37
2013,1197,.21,62,-288,38,10,15,19,.38,.63,.30,11,72,.45,.35
2014,1261,.59,75,122,41,14,13,19,.44,.67,.34,13,71,.41,.36
2017,1305,.82,79,307,40,16,11,16,.45,.70,.38,9,70,.42,.31
2005,1176,.64,72,161,35,15,13,16,.47,.70,.36,12,67,.42,.34
2006,1240,.54,75,0,35,13,13,19,.46,.69,.38,11,75,.49,.37
2009,1361,.71,67,226,35,12,12,17,.45,.70,.35,10,60,.41,.32
2015,1271,.56,67,19,34,13,15,19,.45,.66,.39,8,67,.45,.33
2016,1335,.37,68,-109,38,13,13,18,.43,.67,.30,7,72,.44,.35
2012,1173,.63,71,147,36,14,13,18,.44,.78,.34,8,67,.44,.33
2013,1237,.13,64,-394,33,12,12,15,.44,.68,.36,7,77,.50,.39
2006,1286,.48,73,-40,35,15,14,18,.46,.65,.37,9,74,.46,.38
2006,1369,.20,62,-189,36,12,14,17,.39,.75,.34,8,70,.45,.36
2007,1350,.27,60,-229,29,12,12,21,.45,.65,.35,8,68,.47,.36
2007,1433,.82,74,331,34,13,11,18,.46,.72,.40,10,64,.45,.35
2016,1381,.14,69,-368,35,11,13,20,.43,.71,.36,8,82,.51,.42
2003,1142,.52,67,-25,37,12,15,19,.42,.72,.32,10,68,.43,.34
2004,1206,.70,72,125,37,14,15,18,.44,.68,.34,11,68,.44,.31
2008,1105,.42,64,-88,38,9,16,18,.38,.69,.33,12,67,.42,.35
2010,1245,.71,70,166,37,13,12,18,.43,.68,.32,11,65,.43,.32
2011,1395,.33,67,-98,36,14,12,19,.44,.67,.35,8,70,.46,.33
2012,1459,.57,63,23,35,13,11,16,.44,.65,.33,7,62,.43,.33
2004,1103,.46,71,-11,35,15,14,19,.47,.65,.36,9,72,.44,.34
2008,1211,.78,76,424,38,14,14,17,.48,.72,.37,12,63,.39,.32
2009,1275,.57,61,81,32,12,13,17,.44,.71,.33,8,58,.42,.32
2011,1249,.35,76,-19,42,13,15,22,.42,.68,.35,10,77,.45,.34
2012,1313,.75,69,90,37,12,14,19,.45,.66,.31,11,66,.41,.30
2017,1242,.88,82,331,38,16,13,18,.49,.67,.40,11,72,.42,.36
2004,1252,.19,68,-277,34,11,15,19,.44,.65,.33,9,78,.45,.38
2005,1113,.58,75,134,38,16,14,18,.45,.72,.35,10,71,.44,.33
2006,1177,.44,64,-60,35,12,12,15,.44,.70,.32,9,67,.44,.35
2011,1355,.59,81,207,37,15,9,18,.46,.73,.41,8,74,.48,.40
2012,1419,.11,60,-325,35,11,13,17,.41,.65,.36,7,71,.46,.38
2015,1168,.24,63,-218,36,9,12,18,.41,.69,.32,7,71,.45,.39
2016,1232,.45,67,-67,40,10,13,21,.39,.70,.30,8,69,.42,.32
2004,1398,.23,69,-247,37,14,11,21,.41,.69,.36,8,78,.49,.38
2005,1462,.59,70,147,34,15,13,17,.45,.73,.35,8,65,.43,.38
2009,1321,.57,63,100,30,15,11,17,.45,.69,.39,10,60,.43,.34
2010,1139,.88,70,322,33,12,12,18,.45,.75,.34,9,60,.41,.31
2010,1385,.53,67,55,38,12,12,18,.42,.65,.33,10,65,.43,.35
2011,1203,.55,64,-14,37,11,12,18,.41,.63,.34,10,65,.43,.36
2013,1429,.67,68,134,36,14,13,16,.47,.72,.35,8,63,.41,.34
2013,1283,.29,57,-231,33,9,10,17,.40,.67,.29,6,65,.46,.34
2014,1347,.60,75,32,36,12,10,19,.47,.70,.35,10,74,.46,.38
2003,1208,.70,79,162,38,17,11,17,.46,.71,.38,12,73,.43,.34
2004,1272,.75,73,214,39,14,12,18,.42,.66,.36,12,65,.40,.36
2007,1393,.69,75,247,40,14,15,17,.44,.69,.37,15,67,.37,.32
2008,1457,.65,65,195,36,12,12,17,.44,.60,.37,11,58,.39,.31
2010,1182,.50,70,-22,40,14,14,19,.43,.61,.26,12,71,.42,.34
2011,1246,.76,76,415,38,12,10,16,.46,.72,.40,11,63,.39,.33
2013,1303,.34,70,-327,34,13,14,17,.46,.70,.36,9,82,.49,.38
2014,1367,.55,72,86,38,15,12,18,.45,.67,.32,9,69,.41,.34
2006,1306,.41,59,-153,31,12,14,17,.42,.78,.35,6,64,.44,.36
2011,1269,.48,65,-78,40,11,13,20,.40,.66,.29,10,68,.40,.33
2012,1333,.56,78,167,36,15,13,19,.47,.67,.36,13,73,.46,.39
2013,1280,.31,60,-284,37,10,17,16,.40,.66,.28,11,69,.44,.33
2014,1344,.68,73,125,37,13,11,17,.43,.78,.35,10,69,.44,.33
2017,1179,.21,71,-192,38,12,12,18,.41,.76,.35,8,77,.46,.37
2006,1114,.46,64,-43,37,14,15,18,.41,.69,.32,10,65,.45,.37
2009,1404,.69,76,168,38,13,12,18,.44,.73,.32,10,70,.44,.34
2015,1145,.53,64,58,36,14,12,18,.40,.71,.32,9,62,.41,.33
2006,1137,.86,66,309,32,14,14,17,.47,.69,.39,10,55,.39,.32
2009,1427,.55,72,-5,36,11,13,18,.41,.71,.34,10,72,.48,.32
2009,1192,.23,63,-373,36,11,17,17,.42,.64,.28,10,76,.48,.37
2015,1102,.41,64,-33,31,14,11,17,.47,.66,.35,8,65,.45,.37
2017,1159,.29,66,-151,33,12,14,18,.44,.68,.36,7,71,.45,.38
2013,1323,.74,70,246,37,17,11,14,.46,.71,.37,8,63,.42,.32
2014,1387,.81,70,256,36,14,12,17,.44,.71,.32,11,61,.40,.29
2015,1125,.68,73,112,34,15,13,16,.47,.69,.38,8,70,.45,.34
2016,1189,.47,74,-40,39,14,12,19,.44,.67,.34,7,75,.45,.35
2017,1136,.35,73,-132,37,14,13,21,.44,.72,.34,8,77,.45,.34
2008,1171,.33,62,-200,37,11,14,19,.42,.67,.32,10,69,.48,.35
2009,1235,.47,64,-22,35,14,12,15,.43,.70,.35,7,65,.42,.33
2010,1225,.45,70,-6,35,14,14,18,.46,.66,.38,9,71,.45,.35
2013,1346,.48,71,5,41,12,13,19,.43,.67,.33,7,71,.43,.38
2014,1410,.26,64,-193,38,12,12,20,.41,.66,.28,9,70,.45,.33
2008,1148,.47,69,41,36,14,14,14,.45,.71,.35,8,68,.45,.37
2009,1384,.21,61,-270,32,13,15,19,.43,.73,.32,8,70,.47,.37
2010,1448,.66,72,131,43,11,15,20,.44,.66,.31,12,68,.38,.29
2011,1438,.52,61,-17,34,11,10,16,.41,.69,.39,8,62,.44,.36
2003,1451,.86,74,204,33,14,12,18,.47,.73,.34,7,67,.46,.35
2006,1157,.62,69,34,33,14,13,18,.45,.75,.35,9,67,.44,.35
2011,1418,.48,70,-34,37,9,15,21,.43,.68,.35,9,71,.44,.34
2015,1188,.38,65,-71,36,11,13,18,.42,.66,.37,10,68,.43,.36
2016,1252,.32,77,-156,39,16,14,19,.44,.70,.35,9,82,.45,.37
2004,1123,.46,70,-21,37,12,12,20,.42,.74,.34,7,70,.43,.32
2006,1263,.38,63,-168,35,11,14,17,.41,.72,.35,9,69,.43,.37
2017,1222,.68,73,284,37,12,9,18,.45,.71,.39,8,64,.41,.33
2003,1165,.31,59,-207,33,12,15,18,.42,.64,.34,9,67,.45,.37
2004,1229,.32,62,-104,32,12,14,19,.44,.69,.36,9,65,.46,.37
2005,1379,.32,66,-158,33,11,13,18,.43,.74,.34,8,72,.46,.34
2017,1116,.74,79,197,37,14,11,20,.46,.76,.36,12,74,.42,.33
2008,1191,.28,59,-194,32,12,13,19,.42,.69,.39,5,66,.46,.37
2009,1255,.48,74,-114,39,15,14,22,.42,.67,.32,11,78,.48,.31
2013,1154,.21,63,-323,31,14,15,15,.45,.70,.36,8,75,.48,.38
2015,1294,.46,73,-17,35,12,10,19,.47,.71,.38,8,74,.48,.40
2016,1358,.52,72,17,38,15,11,22,.43,.69,.34,6,71,.45,.35
2016,1444,.37,71,-64,38,11,12,20,.42,.71,.34,8,74,.45,.36
2009,1447,.53,67,-28,35,13,15,17,.45,.63,.38,10,68,.44,.35
2011,1332,.47,68,-26,36,13,12,18,.41,.74,.34,10,69,.45,.36
2012,1396,.77,76,190,35,15,12,17,.47,.72,.40,11,69,.44,.34
2006,1349,.38,66,-117,36,13,15,17,.43,.73,.33,10,70,.44,.34
2007,1413,.18,66,-352,34,12,17,22,.41,.72,.31,9,79,.49,.39
2010,1119,.46,60,-25,34,11,14,20,.41,.66,.33,10,61,.42,.33
2010,1162,.39,60,-142,36,9,14,19,.41,.67,.38,9,65,.45,.36
2011,1183,.26,59,-176,33,12,14,18,.42,.72,.32,8,66,.42,.36
2011,1226,.26,64,-240,36,9,13,18,.41,.70,.30,10,73,.46,.38
2011,1375,.38,69,-142,39,11,14,18,.42,.67,.33,11,74,.47,.39
2012,1439,.48,65,90,35,11,11,17,.42,.72,.36,8,62,.42,.28
2013,1260,.47,64,38,34,13,13,15,.44,.72,.37,7,63,.44,.34
2014,1324,.35,73,-155,36,15,11,20,.43,.72,.37,8,78,.49,.39
2004,1421,.26,61,-288,37,13,15,16,.40,.67,.31,11,72,.47,.37
2008,1234,.41,56,-63,31,12,15,16,.42,.65,.35,7,58,.40,.33
2009,1298,.63,70,70,38,12,13,20,.41,.72,.33,9,68,.41,.32
2013,1111,.45,70,-62,35,11,13,18,.44,.69,.36,10,72,.46,.33
2016,1401,.76,75,353,38,16,11,18,.45,.67,.35,10,65,.41,.33
2010,1265,.03,56,-431,34,9,14,18,.39,.64,.35,6,70,.46,.35
2011,1329,.59,68,47,36,10,13,21,.43,.72,.30,9,66,.41,.34
2009,1178,.21,56,-253,32,10,17,20,.42,.65,.28,9,65,.44,.37
2010,1242,.94,81,611,40,17,12,18,.49,.70,.41,14,63,.38,.33
2014,1141,.28,69,-177,34,11,10,18,.42,.70,.32,8,75,.50,.37
2015,1205,.53,73,-57,36,15,12,16,.44,.67,.34,8,74,.48,.38
2005,1133,.46,69,-37,38,13,15,21,.43,.71,.32,12,71,.43,.35
2006,1197,.43,66,-165,36,10,18,17,.44,.70,.31,9,72,.44,.36
2009,1155,.74,78,333,38,14,14,17,.47,.68,.38,15,68,.43,.36
2010,1219,.46,70,-92,38,12,15,21,.42,.68,.35,10,73,.45,.37
2005,1110,.57,67,31,36,12,15,17,.45,.71,.37,9,66,.41,.35
2009,1132,.57,63,55,37,12,13,17,.43,.67,.35,10,61,.40,.30
2004,1192,.57,68,15,35,13,12,19,.43,.69,.35,11,68,.44,.35
2005,1256,.48,70,-5,39,15,15,17,.44,.62,.31,9,70,.43,.35
2006,1243,.54,68,123,35,16,14,17,.44,.71,.36,9,63,.40,.33
2007,1307,.45,74,28,36,14,12,17,.46,.66,.37,7,73,.47,.36
2014,1287,.58,75,49,37,12,15,23,.45,.71,.30,10,73,.46,.34
2015,1351,.66,65,53,35,12,12,17,.44,.60,.33,9,63,.41,.33
2016,1338,.65,75,219,38,16,11,17,.46,.76,.35,8,68,.44,.36
2017,1402,.58,66,56,34,14,11,18,.45,.65,.35,10,64,.42,.32
2005,1156,.29,67,-127,35,14,16,21,.42,.70,.32,9,72,.47,.35
2005,1279,.45,63,-9,33,14,14,20,.45,.61,.36,9,64,.46,.38
2006,1220,.80,73,186,37,13,13,17,.46,.65,.36,11,67,.42,.35
2006,1343,.46,52,-93,25,11,13,18,.42,.78,.37,9,55,.45,.36
2013,1200,.23,64,-356,39,12,15,20,.40,.67,.31,9,75,.45,.35
2014,1264,.78,77,236,38,13,14,24,.45,.66,.37,14,70,.41,.33
2016,1361,.72,67,236,38,10,12,17,.42,.68,.32,11,60,.37,.29
2017,1425,.73,78,182,37,15,11,15,.45,.74,.36,12,73,.43,.36
2006,1366,.04,55,-750,35,8,20,22,.37,.70,.31,9,82,.51,.37
2007,1353,.32,59,-227,36,8,13,18,.38,.67,.30,8,67,.45,.40
